acronym	name	where
CSCT 2024	Congress on Smart Computing Technologies	Sikkim, India
MLIS 2024	The 6th International Conference on Machine Learning and Intelligent Systems (MLIS 2024)	Universiti Tunku Abdul Rahman, Malaysia
ITNG 2024	The 21st Int'l Conf, on Information Technology: New Generations                          ITNG 2024	Las Vegas
IITUPC 2024	Immunotherapy and Information Technology: Unleashing the Power of Convergence	Online
ACM ICMAI  2024	ACM--2024 9th International Conference on Mathematics and Artificial Intelligence (ICMAI 2024)	Beijing, China
IEEE ICCAR 2024	IEEE--2024 10th International Conference on Control, Automation and Robotics (ICCAR 2024)	Singapore
IEEE SmartNets 2024	2024 IEEE International Conference on Smart Applications, Communications and Networking	Harrisonburg/Washington DC
ACM ICCTA 2024	ACM--2024 10th International Conference on Computer Technology Applications (ICCTA 2024)	Vienna, Austria
WCSA 2024	2024 International Workshop on Control Sciences and Automation (WCSA 2024)	Singapore
ICRoM 2024	2024 the 6th International Conference on Robotics and Mechatronics (ICRoM 2024)	Cape Town, South Africa
CONECCT 2024	Conference of Opportunities for Networking, Excellence, Collaboration and Cooperation among Technologists	J,N,Tata Auditorium, IISc,India
UBISS 2024	12th International UBI Summer School	Oulu, Finland
Effective Grant Writing Using AI 2024	Invitation to Faculty Development Program Effective Grant Writing Strategies Using AI	Online
AI Safety 2024	Special Issue for the Journal Frontiers in Robotics and AI on AI Safety: Safety Critical Systems	Online
Springer ISPR'2024	The 4'th International Conference on Intelligent Systems and Pattern Recognition	Istanbul, Turkey
ICAISE 2024	2024 3rd International Conference on Artificial Intelligence and Software Engineering (ICAISE 2024)	Singapore
ISAI 2024	2024 the 4th International Symposium on AI (ISAI 2024)	Chengdu, China
SEA4DQ 2024	4th International Workshop on Software Engineering and AI for Data Quality	Porto de Galinhas, Brazil
BioInfoMed 2024	Third International Symposium on Bioinformatics and Biomedicine	Burgas, Bulgaria
MIPR 2024	International Conference on Multimedia Information Processing and Retrieval	San Jose, CA, USA
MIGARS 2024	International Conference on Machine Intelligence for GeoAnalytics and Remote Sensing	Wellington, New Zealand
IJNLC 2024	International Journal on Natural Language Computing - H index - 22	Online
AI  2024	10th International Conference on Artificial Intelligence and Applications	London, United Kingdom
SNLP 2024	5th International Conference on Semantic & Natural Language Processing	Copenhagen, Denmark
SIPIJ 2024	Signal & Image Processing : An International Journal - WJCI Listed, H index - 35	Online
CIRSY 2024	10th International Conference on Circuits and Systems	Copenhagen, Denmark
AE 2024	8th International Conference on Advances in Engineering	Copenhagen, Denmark
IJCI 2024	Call for Conference Proceedings - International Journal on Cybernetics & Informatics	Online
MathSJ 2024	Applied Mathematics and Sciences: An International Journal	Online
ACM BSCI 2024	The 6th ACM International Symposium on Blockchain and Secure Critical Infrastructure	Singapore
MaVaS 2024	10th International Conference of Managing Value and Supply Chains	Toronto, Canada
ECIJ 2024	Electrical & Computer Engineering: An International Journal	Online
ANaNO 2024	International Conference on Advanced Nanoscience and Technology	Virtual Conference
ACII 2024	Advanced Computational Intelligence: An International Journal	Online
ASUC 2024	15th International Conference on Ad hoc, Sensor & Ubiquitous Computing	Vancouver, Canada
IJFCST 2024	International Journal on Foundations of Computer Science & Technology	Online
CRBL  2024	International Conference on Cryptography and Blockchain	Chennai, India
IJCCMS 2024	International Journal of Chaos, Control, Modelling and Simulation	Online
CSIP 2024	11th International Conference on Signal Processing	Copenhagen, Denmark
ACSIT 2024	12th International Conference of Advanced Computer Science & Information Technology	Copenhagen, Denmark
CSTY 2024	10th International Conference on Computer Science and Information Technology	London, United Kingdom
AI 2024	10th International Conference on Artificial Intelligence and Applications	London, United Kingdom
AIFU 2024	10th International Conference on Artificial Intelligence and Applications	Zurich, Switzerland
FCST 2024	12th International Conference on Foundations of Computer Science & Technology	Copenhagen, Denmark
IRCE 2024	IEEE--2024 7th International Conference on Intelligent Robotics and Control Engineering (IRCE 2024)	Xi'an, China
ISDFS 2024	12th International Symposium on Digital Forensics and Security	San Antonio, TX, USA
AIET 2024	Springer--2024 5th International Conference on Artificial Intelligence in Education Technology (AIET 2024)	Barcelona, Spain
Springer ICTEM 2024	Springer--2024 5th International Conference on Teaching and Education Management (ICTEM 2024)	Barcelona, Spain
IEISC 2024	2024 2nd Industrial Electronics and Intelligent Systems Conference (IEISC 2024)	Istanbul
ICPRS 2024	IEEE 14th International Conference on Pattern Recognition Systems	London, UK
SPIE IWPR 2024	SPIE--2024 9th International Workshop on Pattern Recognition (IWPR 2024)	Xiamen, China
ACKIM 2024	2024 2nd Asia Conference on Knowledge and Innovation Management (ACKIM 2024)	Bangkok, Thailand
ICCRI 2024	2024 the 7th International Conference on Control, Robotics and Informatics (ICCRI 2024)	Danang, Vietnam
ICCRE 2024	IEEE--2024 9th International Conference on Control and Robotics Engineering (ICCRE 2024)	Osaka University, Osaka, Japan
IEEE SEAI  2024	2024 4th IEEE International Conference on Software Engineering and Artificial Intelligence (SEAI 2024)	Xiamen, China
ACMLC--EI 2024	2024 6th Asia Conference on Machine Learning and Computing (ACMLC 2024)	Bangkok, Thailand
ICEIEC 2024	2024 14th International Conference on Electronics Information and Emergency Communication	Beijing,China
ICMIM 2024	2024 The 6th International Conference on Materials and Intelligent Manufacturing (ICMIM 2024)	Inha University, Incheon, South Korea
PRML 2024	2024 the 5th International Conference on Pattern Recognition and Machine Learning (PRML 2024)	Chongqing, China
MMCM@CVPR 2024	2nd IEEE Workshop on Multimodal Content Moderation (MMCM) @ CVPR 2024	Seattle WA, USA
SCAI 2024	Scandinavian Conference on AI	JÃÖnkÃÖping
ACAIN 2024	4th Advanced Course  and Symposium on Artificial Intelligence and Neuroscience	Riva del Sole Resort & SPA - Tuscany
REAL-Info 2024	1st Workshop on Reliable Evaluation of LLMs for Factual Information	Buffalo, NY, USA
CSMO 2024	2024 8th International Conference on Simulation, Modeling and Optimization (CSMO 2024)	Hong Kong
Hong Kong-CSMO 2024	2024 8th International Conference on Simulation, Modeling and Optimization (CSMO 2024)	Hong Kong
Springer AIVR 2024	Springer--2024 8th International Conference on Artificial Intelligence and Virtual Reality (AIVR 2024)	Fukuoka, Japan
MLSP 2024	Multilingual Lexical Simplification Pipeline (MLSP) Shared Task @ 19th Workshop on Innovative Use of NLP for Building Educational Applications	Mexico City
CONCEPTS 2024	1st International Joint Conference on Conceptual Knowledge Structures	Cadiz, Spain
i-Society 2024	The 17th International Conference on Information Society	Cambridge, UK
IISA 2024	15th International Conference on Information, Intelligence, Systems and Applications	Chania, Crete, Greece
ICSTE 2024	2024 14th International Conference on Software Technology and Engineering (ICSTE 2024)	Macau, China
Scopus-AIAAT 2024	2024 7th International Conference on Artificial Intelligence Applications and Technologies	Kuala Lumpur, Malaysia
JARES 2024	International Journal of Advance Robotics & Expert Systems	Online
ACM HPCCT 2024	ACM--2024 8th High Performance Computing and Cluster Technologies Conference (HPCCT 2024)	Beijing, China
UMR 2024	UMR Parsing Workshop	Boulder, Colorado
PRIS 2024	Hongkong | 2024 6th International Conference on Pattern Recognition and Intelligent Systems (PRIS 2024)	Hongkong, China
ABAW  2024	6th Workshop and Competition on Affective Behavior Analysis in-the-wild @ IEEE CVPR 2024	Seattle, USA
Hongkong PRIS 2024	2024 6th International Conference on Pattern Recognition and Intelligent Systems (PRIS 2024)	Hongkong, China
ECOJ 2024	Ecology: An International Journal	Online
ICFIT 2024	2024 13th International Conference on Frontiers of Intelligent Technology (ICFIT 2024)--ESCI	Macau, China
ICRIT 2024	2024 7th International Conference on Robotics and Intelligent Technology (ICRIT 2024)	Macau, China
ICKD--EI 2024	2024 12th International Conference on Knowledge Discovery (ICKD 2024)	Macau S,A,R, China
IAIL 2024	Imaging the AI Landscape after the AI ACT	MalmÃÖ, Sweden
FSTJ 2024	Food Science and Technology: An International Journal	Online
AITC 2024	2024 6th International Artificial Intelligence Technology Conference (AITC 2024)	Qingdao, China
REM 2024	IEEE International Conference on Research and Education in Mechatronics	Dead Sea, Jordan
SPML 2024	ACM--2024 7th International Conference on Signal Processing and Machine Learning (SPML 2024)	Qingdao, China
CTISC 2024	2024 6th International Conference on Advances in Computer Technology, Information Science and Communications (CTISC 2024) -EI Compendex	Sanya, China
Curious 2024	CURIOUS2024Â­ FUTURE INSIGHTâ,¢ CONFERENCE	Mainz, Germany (Rheingoldhalle) & online
ICAC 2024	The 29th International Conference on Automation and Computing	Sunderland, UK
Horizon_ENFIELD 2024	Open Call for Proposals_Researchers Mobility Program	Europe
JDSA MSBE 2023	International Journal of Data Science and Analytics: Special Issue on Data Science and AI in Marine Science and Blue Economy	Online
ICSI 2024	The Fifteenth International Conference on Swarm Intelligence	Xining, China
IEEE COINS 2024	6th IEEE International Conference on Omni-Layer Intelligent systems	London, United Kingdom
ACM ICCCV 2024	ACM--2024 The 6th International Conference on Control and Computer Vision (ICCCV 2024)	Tianjin, China
Midwest CogSci 2024	Midwest Cognitive Science Conference 2024	Athens, Ohio, USA
ICACR--EI 2024	2024 the 8th International Conference on Automation, Control and Robots (ICACR 2024)	Xiangyang, China
C3AI 2024	The International Conference on  Computing, Communication, Cybersecurity & AI	London, UK
ICCSM 2024	2024 8th International Conference on Computer, Software and Modeling (ICCSM 2024)	Paris, France
IEEE CCAI 2024	2024 IEEE the 4th International Conference on Computer Communication and Artificial Intelligence (CCAI 2024)	Xidian University, Xi'an, China
ACM ICHMI 2024	ACM--2024 4th International Conference on HumanâMachine Interaction (ICHMI 2024)	Xi'an, China
BDEE--EI 2024	2024 The 4th International Conference on Big Data Engineering and Education (BDEE 2024)	Chiangmai, Thailand
WCSE--EI 2024	2024 The 14th International Workshop on Computer Science and Engineering (WCSE 2024)	Phuket Island, Thailand
ICMIMT 2024	IEEE--2024 15th International Conference on Mechanical and Intelligent Manufacturing Technologies (ICMIMT 2024)	Cape Town, South Africa
ICCIA--EI 2024	2024 9th International Conference on Computational Intelligence and Applications (ICCIA 2024)	Haikou, China
IEEE ICMAE 2024	IEEE--2024 15th International Conference on Mechanical and Aerospace Engineering (ICMAE 2024)	Zagreb, Croatia
IEEE ICoIAS 2024	IEEE--2024 the 7th International Conference on Intelligent Autonomous Systems (ICoIAS 2024)	Dalian, Liaoning, China
ISDEA 2024	2024 3rd International Conference on Intelligent Systems Design and Engineering Applications (ISDEA 2024)	Tottori, Japan
NLPAICS 2024	First International Conference on Natural Language Processing  and Artificial Intelligence for Cyber Security	Lancaster, United Kingdom
PPSN 2024	18th International Conference on Parallel Problem Solving From Nature	Hagenberg, Austria
SNPD 2024	27th ACIS International Summer Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing	Beijing, China
ICDD 2024	International Conference on Applied Informatics Imagination, Creativity, Design, Development	Sibiu, Romania
IEEE SMC 2024	IEEE International Conference on Systems, Man, and Cybernetics	Kuching, Sarawak, Malaysia
SIUSAI 2024	2024 3rd International Symposium on Intelligent Unmanned Systems and Artificial Intelligence(SIUSAI 2024)	Qingdao, China
IEEE WSAI 2024	IEEE--2024 the 6th World Symposium on Artificial Intelligence (WSAI 2024)	Guangzhou, China
ICVR 2024	IEEE--2024 the 10th International Conference on Virtual Reality (ICVR 2024)	Bournemouth, United Kingdom
ACM ICSED 2024	ACM--2024 6th International Conference on Software Engineering and Development (ICSED 2024)	Hong Kong
IEEE ICTLE 2024	IEEE--2024 12th International Conference on Traffic and Logistic Engineering (ICTLE 2024)	Macau, China
HUMAD 2024	[Scopus] [ACM] International Workshop on Human-Centered Modeling and Adaptation for Digital Transformation	Cagliari, Italy; also online
IEEE ICWOC 2024	IEEE--2024 12th International Conference on Intelligent Computing and Wireless Optical Communications (ICWOC 2024)	Chongqing, China
HP3C 2024	ACM--2024 8th International Conference on High Performance Compilation, Computing and Communications (HP3C 2024)	Guangzhou, China
AIiH 2024	Artificial Intelligence in Healthcare	Swansea
NiDS 2024	International Conference on Novel and Intelligent Digital Systems	Athens, Greece (both in-person and onli)
IEEE ISNCC 2024	2024 International Symposium on Networks, Computers and Communications	Washington DC
EAMT  2024	The 25th Annual Conference of  The European Association for Machine Translation	Sheffield, UK
BELIEF 2024	The 8th International Conference on Belief Functions	Belfast, Ulster University, Northern Ire
XR Salento  2024	International Conference on eXtended Reality	Lecce, Italy
IEEE ESAS 2024	IEEE ESAS 2024: The 19th International Workshop on e-Health Systems & Web Technologies	Osaka, Japan
ICRAS 2024	IEEE--2024 8th International Conference on Robotics and Automation Sciences (ICRAS 2024)	Tokyo,Japan
AAAC--EI 2024	2024 The 2nd Asian Aerospace and Astronautics Conference (AAAC 2024)	Nanjing, China
RSAE 2024	ACM--2024 the 6th International Conference on Robotics Systems and Automation Engineering (RSAE 2024)	Tokyo,Japan
mSBW 2024	2024 International Mammalian Synthetic Biology Workshop (mSBW)	Boston, MA
SCA 2024	SMART CITY ASIA 2024	Saigon Exhibition and Convention Center
ACM ASSE 2024	ACM--2024 5th Asia Service Sciences and Software Engineering Conference (ASSE 2024)	The University of Tokyo, Japan
ACM AIPR 2024	ACM--2024 7th International Conference on Artificial Intelligence and Pattern Recognition (AIPR 2024)	Xiamen, China
SI on ATD&IS III 2024	Special Issue on Advanced Technologies in Data and Information Security III, Applied Sciences, MDPI	Online
ICAII 2024	2024 the 2nd International Conference on Artificial Intelligence Innovation (ICAII 2024)	Bangkok, Thailand
ICRSA 2024	2024 the 7th International Conference on Robot Systems and Applications (ICRSA 2024)	Bangkok, Thailand
IEEE ICACTE 2024	IEEE--2024 The 17th International Conference on Advanced Computer Theory and Engineering (ICACTE 2024)	Hefei, Anhui, China
ICCX 2024	CFP: 'The Human and the Machine: AI and the Changing World'	Online
ICRCV 2024	IEEE--2024 6th International Conference on Robotics and Computer Vision (ICRCV 2024)	Wuxi, China
IPAI 2024	2024 International Conference on Image Processing and Artificial Intelligence (IPAI 2024)	Paris, France
MEVE--EI 2024	2024 6th International Conference on Mechanical Engineering and Vehicle Engineering (MEVE 2024)	Wuxi, China
INISTA 2024	The 18th International Symposium on INnovation in Intelligent SysTems and Applciations	Craiova, Romania
IT-Tage 2024	IT-Tage - IT-Konferenz fÃ¼r Software-Entwicklung, -Architektur, KI, Datenbanken, DevOps, Agile und Management	Frankfurt am Main
ICITES 2024	2024 4th International Conference on Intelligent Technology and Embedded Systems (ICITES 2024)	Chengdu, China
SBD Summer School 2024	SoBigData RI Summer School 2024 Empowering data for social good	Baratti - Tuscany, Italy
RTIP2R 2024	7th International Conference on Recent Trends in Image Processing and Pattern Recognition	Bhopal, India
KONVENS 2024	Konferenz zur Verarbeitung natÃ¼rlicher Sprache / Conference on Natural Language Processing	Vienna
VRIP 2024	ACM--2024 6th International Conference on Virtual Reality and Image Processing (VRIP 2024)	Macao, China
DITTET 2024	(Springer) 4th International Conference on Disruptive Technologies, Tech Ethics and Artificial Intelligence	Virtually
ICMRA 2024	2024 7th International Conference on Mechatronics, Robotics and Automation (ICMRA 2024)	Wuhan, China
IEEE ICCS 2024	2024 IEEE 4th International Conference on Computer Systems (ICCS 2024)	Hangzhou, China
AICCSA 2024	The ACS/IEEE 21st International Conference on Computer Systems and Applications	Sousse, Tunisia
IWBBIO 2024	International Work-Conference on Bioinformatics and Biomedical Engineering	Gran Canaria, Spain
ITISE 2024	International conference on Time Series and Forecasting	Gran Canaria, Spain
ICDMA 2024	2024 10th International Conference on Digital Manufacturing and Automation (ICDMA 2024)	Changchun, Jilin Province, China
CNCIT 2024	2024 3rd International Conference on Networks, Communications and Information Technology (CNCIT 2024)	Xi'an, China
PRO-VE 2024	[PRO-VE 2024][October 28-30][Albi, France] Navigating Unpredictability: Collaborative Networks in Non-linear Worlds	Albi (France)
TechDev--EI 2024	2024 13th International Conference on Computer Technologies and Development (TechDev 2024)	Huddersfield, UK
CCAT 2024	2024 the 3rd International Conference on Computer Application Technology (CCAT 2024)	Wenzhou, China
AgriAI 2024	IEEE Artificial Intelligence in Agriculture	Belgrade, Serbia
ICCMA--EI 2024	2024 The 12th International Conference on Control, Mechatronics and Automation (ICCMA 2024)	Brunel University London, UK
ENO-CANCOA 2024	XVIII National Meeting on Optics and the IX Andean and Caribbean Conference on Optics and its Applications	Cartagena, Colombia
CIBB 2024	Computational Intelligence Methods for Bioinformatics and Biostatistics	Benevento - Italy
ICAAI 2024	ACM--2024 The 8th International Conference on Advances in Artificial Intelligence (ICAAI 2024)	London, UK
EAIT 2024	2024 The 5th International Conference on Education and Artificial Intelligence Technologies (EAIT 2024)	London, UK
AIMSA 2024	19th International Conference on Artificial Intelligence: Methodology, Systems, Applications AIMSA 2024	Golden Sands, Varna, Bulgaria
MEAE 2024	2024 the 10th Asia Conference on Mechanical Engineering and Aerospace Engineering (MEAE 2024)	Taicang, China
IEEE SRSE 2024	IEEE--2024 The 6th International Conference on System Reliability and Safety Engineering (SRSE 2024)	Hangzhou, Zhejiang, China
IEEE WAIE 2024	IEEE--2024 6th International Workshop on Artificial Intelligence and Education (WAIE 2024)	Tokyo, Japan
IBERAMIA 2024	18th Ibero-American Conference on Artificial Intelligence	Montevideo, Uruguay
FLLM 2024	The 2nd International Conference on Foundation and Large Language Models	Dubai, UAE
ICCSSE 2024	2024 10th International Conference on Control Science and Systems Engineering (ICCSSE 2024)	Beijing, China
ICPM 2024	International Conference on Process Mining	Copenhagen, Denmark
WCCS 2024	First CFP : Call for papers at WCCS24 November 11 to 14, 2024, in Casablanca, Morocco	Casablanca, Morocco
I3E 2024	23rd IFIP Conference e-Business, e-Services, and e-Society	Heerlen, the Netherlands
ICSESS 2024	2024 15th International Conference on Software Engineering and Service Science	China
TAL-ALD 2024	Special issue of the journal Traitement Automatique des Langues (TAL)  Abusive Language Detection : Linguistic Resources, Methods and Applications	Online
NYC-2024-AI 2024	New York Annual Conference on Artificial Intelligence 2024	New York, USA
AICC 2024	AI for Cognitive Computing	Online
CIARP 2024	Iberoamerican Congress on Pattern Recognition	Talca, Chile
IOTSMS 2024	The 11th International Conference on Internet of Things: Systems, Management and Security	Malmo, Sweden
NCTA 2024	16th International Conference on Neural Computation	Porto, Portugal
IEEE RCAE 2024	IEEE--2024 The 7th International Conference on Robotics, Control and Automation Engineering (RCAE 2024)	Wuhu, China
IEEE ICITE 2024	2024 IEEE the 9th International Conference on Intelligent Transportation Engineering (ICITE 2024)	Xi'an, China
CPS AIPE 2024	CPS--2024 2nd International Conference on Artificial Intelligence and Power Engineering (AIPE 2024)	Sendai, Japan
SMART STEM 2024	National Conference SMART STEM Education and Innovations 2024	Sofia, Bulgaria
IEEE ICAIGE 2024	2024 IEEE 2nd International Conference on Artificial Intelligence & Green Energy	Yasmine Hammamet, Tunisia
JCRAI 2024	2024 4th International Joint Conference on Robotics and Artificial Intelligence	Shanghai, China
ACM NLPIR 2024	ACM--2024 8th International Conference on Natural Language Processing and Information Retrieval (NLPIR 2024)	Okayama, Japan
MMRCE  2024	2024 International Conference on Mechanical Manufacturing, Robotics and Control Engineering	Chongqing, China
DS 2024	Discovery Science 2024	Pisa, Italy
IGI Global Book Chapter 2024	Future of Digital Technology and AI in Social Sectors	USA
SUM 2024	16th International Conference on Scalable Uncertainty Management	Palermo, Italy
ISCMI 2024	11th International Conference on Soft Computing and Machine Intelligence	Melbourne, Australia
LSGDA 2024	The 3rd International Workshop onÂ Large-Scale Graph Data Analytics	Guangzhou, China
ACM CIIS 2024	ACM--2024 7th International Conference on Computational Intelligence and Intelligent Systems (CIIS 2024)	Nagoya, Japan
MIWAI 2024	17th Multi-Disciplinary International Conference on Artificial Intelligence	Pattaya City, Thailand
SPECOM 2024	26th International Conference on Speech and Computer	Belgrade, Serbia
AIKE 2024	7th IEEE International Conference on Artificial Intelligence and Knowledge Engineering	Laguna Hills, California, USA
CompAuto 2024	2024 4th International Conference on Computers and Automation (CompAuto 2024)	Milan, Italy
CRET 2024	2024 International Conference on Control, Robotics Engineering and Technology (CRET 2024)	Milan, Italy
IEEE CRC 2024	IEEE--2024 9th International Conference on Control, Robotics and Cybernetics (CRC 2024)	Penang, Malaysia
EKAW 2024	The 24th International Conference on Knowledge Engineering and Knowledge Management (EKAW-24)	Amsterdam, Netherlands
CCVPR 2024	2024 International Joint Conference on Computer Vision and Pattern Recognition (CCVPR 2024)	Shanghai, China
ACM AICCC 2024	ACM--2024 7th Artificial Intelligence and Cloud Computing Conference (AICCC 2024)	Waseda University in Tokyo, Japan
AIAT 2024	2024 4th International Conference on Artificial Intelligence and Application Technologies (AIAT 2024)	Yokohama, Japan
ICCR 2024	IEEE--2024 6th International Conference on Control and Robotics (ICCR 2024)	Yokohama, Japan
WI-IAT 2024	23rd IEEE/WIC International Conference on Web Intelligence and Intelligent Agent Technology	Bangkok, Thailand
Springer CMAME 2024	Springer--2024 the 11th International Conference on Mechanical, Automotive and Materials Engineering (CMAME 2024)	Bangkok, Thailand
PMAE 2024	2024 The 6th International Conference on Progress in Mechanical and Aerospace Engineering (PMAE 2024)	Bangkok, Thailand
EAICI 2024	Explainable AI for Cancer Imaging	Online
ICMERR 2025	2025 the 9th International Conference on Mechanical Engineering and Robotics Research (ICMERR 2025)	Barcelona, Spain
UCC 2024	The IEEE/ACM International Conference on Utility and Cloud Computing	Sharjah, UAE
ICCIS 2024	6th International Conference on Communication and Intelligent Systems	MANIT Bhopal India
InCIT 2024	The 8th International Conference on Information Technology	Thailand
NLE Special Issue 2024	Natural Language Engineering- Special issue on NLP Approaches for Computational Analysis of Social Media Texts for Online Well-being and Social Order	Online
CrossMED 2024	International Conference Landscapes Across the Mediterranean	Reggio Calabria (Italy)
SOICT 2024	The 13th International Symposium on Information and Communication Technology	Danang, Vietnam
WVC 2024	XIX - Workshop on Computer Vision	Rio ParanaÃ­ba - MG - Brazil
ISCAI 2024	2024 3rd International Symposium on Computing and Artificial Intelligence	Dali, China
IEEE-JBHI (SI) 2024	Special Issue on Revolutionizing Healthcare Informatics with Generative AI: Innovations and Implications	Online
CPAIOR 2024	International Conference on the Integration of Constraint Programming, Artificial Intelligence, and Operations Research	Uppsala, Sweden
DEPLING  2023	International Conference on Dependency Linguistics	Washington D,C,, USA
